,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,artist_num
1,0,愛されなくても君がいる,PINOCCHIOP BEST ALBUM 2009-2020 寿,PinocchioP,2021-03-03,272000,14,1,0,0.574,0.0287,0.793,0.0,0.11,-5.311,0.0389,150.041,4,0.377,1
2,1,Because You're Here,PinocchioP Best Album 2009-2020 Kotobuki,PinocchioP,2021-03-03,272000,16,1,0,0.574,0.0287,0.793,0.0,0.11,-5.311,0.0389,150.041,4,0.377,1
3,2,五臓六腑 -Opening- Live from 五臓六腑 Tour 2019 at Tokyo,ピノキオピー Live from 五臓六腑 Tour 2019 at Tokyo,PinocchioP,2020-02-28,67340,3,11,0,0.741,0.532,0.566,0.795,0.0974,-16.659,0.083,112.994,4,0.154,1
4,3,GOZOU-ROPPU -Opening- Live from Gozou-Roppu Tour 2019 at Tokyo,PinocchioP Live from Gozou-Roppu Tour 2019 at Tokyo,PinocchioP,2020-02-28,67340,4,11,0,0.741,0.532,0.566,0.795,0.0974,-16.659,0.083,112.994,4,0.154,1
5,4,玉葱+,P+,PinocchioP,2019-08-19,144800,15,6,1,0.59,0.053,0.916,0.0,0.127,-5.535,0.0489,150.021,4,0.905,1
6,5,Onion+,P+,PinocchioP,2019-08-19,144800,19,6,1,0.59,0.053,0.916,0.0,0.127,-5.535,0.0489,150.021,4,0.905,1
7,6,ぼくらはみんな意味不明,零号,PinocchioP,2019-02-27,233000,31,6,0,0.665,0.0106,0.857,0.00358,0.058,-5.54,0.0584,112.944,4,0.669,1
8,7,Nobody Makes Sense,ZERO-GO,PinocchioP,2019-02-27,233000,41,6,0,0.665,0.0106,0.857,0.00358,0.058,-5.54,0.0584,112.944,4,0.669,1
9,8,増殖する今村,増殖する今村,PinocchioP,2018-01-24,181461,12,0,1,0.748,0.189,0.805,0.0037,0.0515,-5.961,0.0389,140.006,4,0.965,1
10,9,Floating Shelter,Comic and Cosmic,PinocchioP,2016-12-31,223272,7,1,1,0.529,0.0261,0.94,8.16e-05,0.0949,-3.741,0.14,164.755,4,0.505,1
11,10,Floating Shelter,Comic and Cosmic,PinocchioP,2016-12-31,223272,11,1,1,0.529,0.0261,0.94,8.16e-05,0.0949,-3.741,0.14,164.755,4,0.505,1
12,11,ニッポンの夜明け,HUMAN,PinocchioP,2016-11-23,148133,3,9,1,0.604,0.343,0.965,0.0998,0.228,-4.541,0.0362,128.028,4,0.543,1
13,12,The Dawn of Japan,Human,PinocchioP,2016-11-23,148133,9,9,1,0.604,0.343,0.965,0.0998,0.228,-4.541,0.0362,128.028,4,0.543,1
14,13,Tokyo Mannequin,Antenna,PinocchioP,2015-12-31,246408,11,1,1,0.607,0.0632,0.941,0.000352,0.0869,-1.988,0.0606,159.841,4,0.18,1
15,14,東京マヌカン,Antenna,PinocchioP,2015-12-31,246408,7,1,1,0.607,0.0632,0.941,0.000352,0.0869,-1.988,0.0606,159.841,4,0.18,1
16,15,しぼう,しぼう,PinocchioP,2014-12-03,130000,4,4,1,0.48,0.267,0.619,0.00519,0.58,-8.012,0.0697,87.49,4,0.344,1
17,16,SHI-BOU,SHI-BOU,PinocchioP,2014-12-03,130000,12,4,1,0.48,0.267,0.619,0.00519,0.58,-8.012,0.0697,87.49,4,0.344,1
18,17,elf,Яareno Collection,PinocchioP,2014-08-17,99721,2,9,1,0.656,0.00127,0.92,0.00989,0.238,-4.068,0.0358,115.046,4,0.731,1
19,18,elf,Rare-no Collection,PinocchioP,2014-08-17,99721,3,9,1,0.656,0.00127,0.92,0.00989,0.238,-4.068,0.0358,115.046,4,0.731,1
20,19,ありふれたせかいせいふく feat.初音ミク,Obscure Questions(オブスキュア クエスチョンズ) [feat. Hatsune Miku],PinocchioP,2012-07-04,200900,34,1,0,0.514,0.00855,0.969,0.000697,0.2,-2.908,0.126,149.904,4,0.757,1
21,20,Common World Domination,Obscure Questions,PinocchioP,2012,200900,46,1,0,0.514,0.00855,0.969,0.000681,0.2,-2.908,0.126,149.907,4,0.757,1
22,21,ぼくとわたしと少年少女,poncotsu,PinocchioP,2011-02-09,224583,5,0,1,0.464,0.143,0.765,0.0,0.039,-1.015,0.061,144.933,4,0.584,1
23,22,あかんぼ,ハナガノビール,PinocchioP,2010-03-03,281611,5,7,1,0.544,0.0409,0.877,0.0,0.0789,-4.839,0.0806,120.041,4,0.252,1
24,23,ノンブレス・オブリージュ,ノンブレス・オブリージュ,PinocchioP,2021-06-03,208991,43,0,1,0.606,0.0943,0.852,1.89e-06,0.0991,-4.996,0.0881,147.997,4,0.526,1
25,24,Non-breath oblige,Non-breath oblige,PinocchioP,2021-06-03,208991,45,0,1,0.606,0.0943,0.852,1.89e-06,0.0991,-4.996,0.0881,147.997,4,0.526,1
26,25,リアルにぶっとばす,リアルにぶっとばす,PinocchioP,2021-04-06,207768,31,2,1,0.573,0.0881,0.95,0.0,0.0353,-5.73,0.254,160.016,4,0.698,1
27,26,KICK-ASS *LITERALLY,KICK-ASS *LITERALLY,PinocchioP,2021-04-06,207768,32,2,1,0.573,0.0881,0.95,0.0,0.0353,-5.73,0.254,160.016,4,0.698,1
28,27,愛されなくても君がいる,愛されなくても君がいる,PinocchioP,2021-03-03,272333,37,1,0,0.548,0.00945,0.828,4.8e-06,0.101,-4.374,0.0537,150.005,4,0.31,1
29,28,Because You're Here,Because You're Here,PinocchioP,2021-03-03,272333,46,1,0,0.548,0.00945,0.828,4.8e-06,0.101,-4.374,0.0537,150.005,4,0.31,1
30,29,ラヴィット,ラヴィット,PinocchioP,2020-10-17,218068,51,1,0,0.667,0.0154,0.763,2.64e-05,0.552,-5.349,0.042,145.037,4,0.482,1
31,30,Loveit,Loveit,PinocchioP,2020-10-17,218068,42,1,0,0.667,0.0154,0.763,2.64e-05,0.552,-5.349,0.042,145.037,4,0.482,1
32,31,アルティメットセンパイ,アルティメットセンパイ,PinocchioP,2020-08-15,218068,30,1,0,0.742,0.00619,0.674,0.0553,0.0971,-4.995,0.052,145.025,4,0.694,1
33,32,Ultimate Senpai,Ultimate Senpai,PinocchioP,2020-08-15,218068,35,1,0,0.742,0.00619,0.674,0.0553,0.0971,-4.995,0.052,145.025,4,0.694,1
34,33,シークレットひみつ,シークレットひみつ,PinocchioP,2020-08-15,219870,22,6,1,0.588,0.00242,0.84,0.000577,0.135,-4.403,0.0347,154.986,4,0.768,1
35,34,Secret HIMITSU,Secret HIMITSU,PinocchioP,2020-08-15,219870,32,6,1,0.588,0.00242,0.84,0.000577,0.135,-4.403,0.0347,154.986,4,0.768,1
36,35,恋の恋による恋のための恋,恋の恋による恋のための恋,PinocchioP,2020-08-15,238222,21,5,1,0.568,0.557,0.865,7.41e-06,0.319,-3.998,0.0394,135.032,4,0.422,1
37,36,Love of Love by Love for Love,Love of Love by Love for Love,PinocchioP,2020-08-15,238222,32,5,1,0.568,0.557,0.865,7.41e-06,0.319,-3.998,0.0394,135.032,4,0.422,1
38,37,Goodbyes,Goodbyes,Hikarisyuyo,2020-10-15,225047,4,0,0,0.703,0.803,0.584,0.0978,0.106,-7.666,0.106,130.113,4,0.414,1
39,38,VILLAIN - TYPE A - Inst,ベノマ,Kairiki Bear,2020-01-15,86026,16,10,1,0.305,0.477,0.483,0.352,0.268,-12.879,0.137,186.862,3,0.321,1
40,39,Towa no Kizuna,Towa no Kizuna (Standard Edition),Various Artists,2017-11-01,218640,16,8,0,0.615,0.207,0.992,6.08e-05,0.322,-3.459,0.103,143.983,4,0.665,1
41,40,その群青が愛しかったようだった,アテインリレイション,Various Artists,2016-12-29,160533,22,7,1,0.57,0.00129,0.951,0.000884,0.349,-4.707,0.0328,109.963,4,0.842,1
42,41,Sonogunjyogaitoshikattayoudatta,Ateinrelation,Various Artists,2016-12-29,160533,12,7,1,0.57,0.00129,0.951,0.000884,0.349,-4.707,0.0328,109.963,4,0.842,1
43,42,Yuudachi No Ribbon,Vocaloid3 Library Mayu,Various Artists,2015-12-02,228000,27,1,0,0.516,0.0239,0.978,0.000602,0.0732,-2.61,0.0615,114.97,4,0.668,1
44,43,Noushou Sakuretsu Girl,Vivid Colors -Touyu Best-,Various Artists,2015-09-09,193906,19,8,1,0.607,0.0201,0.908,0.0,0.31,-4.229,0.0968,155.219,4,0.725,1
45,44,Risky Game,Exit Tunes Presents Ikemen Voice Paradise 3,Various Artists,2015-08-01,209000,10,7,0,0.68,0.635,0.654,0.0,0.0988,-4.509,0.0514,133.007,4,0.728,1
46,45,Inori,Exit Tunes Presents Supernova 5,Various Artists,2015-08-01,279000,1,3,1,0.445,0.0439,0.942,0.0,0.0647,-3.472,0.0574,93.292,4,0.502,1
47,46,Go! Shichi! Go!,"""""""Utayui 575"""" Azuki To Maccha Character Song Collection!!""",Various Artists,2015-08-01,185500,0,8,1,0.44,0.0241,0.901,0.0,0.243,-3.632,0.0441,101.002,3,0.435,1
48,47,カゲロウデイズ -初音ミク「マジカルミライ 2014」Live-,初音ミク「マジカルミライ 2014」 [Live],Various Artists,2015-02-25,235856,31,4,0,0.557,0.347,0.97,0.0,0.924,-2.205,0.0794,100.006,4,0.661,1
49,48,Waltz of Knives,MIKU-MIXTURE,Various Artists,2014-02-19,315626,8,0,1,0.385,0.386,0.8,0.00579,0.0856,-6.615,0.049,152.982,4,0.143,1
50,49,Waltz of Knives,MIKU-MIXTURE,Various Artists,2014-02-19,315626,1,0,1,0.385,0.386,0.8,0.00579,0.0856,-6.615,0.049,152.982,4,0.143,1
51,50,赤心性:カマトト荒療治 feat.赤飯(カバー),赤BAN,Sekihan,2013-06-19,227789,8,11,0,0.568,0.00216,0.988,0.000141,0.0838,-2.57,0.0944,102.48,4,0.622,1
52,51,Sekishinsei: Kamatoto Araryouji,Aka Ban,Various Artists,2013,227789,15,11,0,0.568,0.00216,0.988,0.000141,0.0838,-2.57,0.0944,102.48,4,0.622,1
53,52,Tokyo Pleasure Ground -Prologue-,Tokyo Pleasure Ground,Various Artists,2013,38100,0,9,1,0.554,0.000227,0.991,0.512,0.047,-5.041,0.0459,120.036,4,0.558,1
54,53,Erehwon No Fumoto De,Kaku Eiga Ongakushu 2,Tohru Okada,2012-08-08,180480,0,5,1,0.232,0.524,0.695,0.95,0.291,-6.763,0.0648,164.978,4,0.375,1
55,54,幽霊屋敷の首吊り少女 feat.灯油(カバー),トモシビアブラ,TOUYU,2012-06-20,269732,0,0,0,0.261,0.0251,0.897,2.21e-05,0.114,-2.674,0.044,88.223,4,0.783,1
56,55,Yuurei Yashiki No Kubitsuri Shoujo,Tomoshibi Abura,Various Artists,2012,269732,9,0,0,0.261,0.0251,0.897,2.21e-05,0.114,-2.674,0.044,88.223,4,0.783,1
57,56,Shuukan Shounen Bye Bye,Exit Tunes Presents Supernova 8,Various Artists,2012,198800,2,9,0,0.435,0.00102,0.899,0.00859,0.331,-2.813,0.141,167.912,4,0.736,1
58,57,ヴィデオ ボーイ,初音ミク plays 月光下騎士団(ムーンライダーズ),Plusico Produced By Thomas O'hara,2011-12-14,228706,0,0,1,0.699,0.00358,0.747,0.000164,0.381,-5.611,0.0303,137.992,4,0.931,1
59,58,永久のキズナ - feat. Another Infinity,永久のキズナ [feat. Another Infinity(通常盤)],Daisy×Daisy,2011-10-19,218640,0,8,0,0.615,0.207,0.992,6.08e-05,0.322,-3.459,0.103,143.983,4,0.665,1
60,59,リスキーゲーム (feat. nero),EXIT TUNES PRESENTS イケメンボイスパラダイス 3,Various Artists,2011-06-15,209000,0,7,0,0.68,0.635,0.654,0.0,0.0988,-4.509,0.0514,133.007,4,0.728,1
61,60,inori,EXIT TUNES PRESENTS Supernova(スーパーノヴァ)5 ジャケットイラスト:なぎみそ,Various Artists,2011-04-29,279000,0,3,1,0.445,0.0439,0.942,0.0,0.0647,-3.472,0.0574,93.292,4,0.502,1
63,0,ノンブレス・オブリージュ,ノンブレス・オブリージュ,PinocchioP,2021-06-03,208991,43,0,1,0.606,0.0943,0.852,1.89e-06,0.0991,-4.996,0.0881,147.997,4,0.526,1
64,1,リアルにぶっとばす,リアルにぶっとばす,PinocchioP,2021-04-06,207768,31,2,1,0.573,0.0881,0.95,0.0,0.0353,-5.73,0.254,160.016,4,0.698,1
65,2,愛されなくても君がいる,愛されなくても君がいる,PinocchioP,2021-03-03,272333,37,1,0,0.548,0.00945,0.828,4.8e-06,0.101,-4.374,0.0537,150.005,4,0.31,1
66,3,ラヴィット,ラヴィット,PinocchioP,2020-10-17,218068,51,1,0,0.667,0.0154,0.763,2.64e-05,0.552,-5.349,0.042,145.037,4,0.482,1
67,4,恋の恋による恋のための恋,恋の恋による恋のための恋,PinocchioP,2020-08-15,238222,21,5,1,0.568,0.557,0.865,7.41e-06,0.319,-3.998,0.0394,135.032,4,0.422,1
68,5,シークレットひみつ,シークレットひみつ,PinocchioP,2020-08-15,219870,22,6,1,0.588,0.00242,0.84,0.000577,0.135,-4.403,0.0347,154.986,4,0.768,1
69,6,アルティメットセンパイ,アルティメットセンパイ,PinocchioP,2020-08-15,218068,30,1,0,0.742,0.00619,0.674,0.0553,0.0971,-4.995,0.052,145.025,4,0.694,1
71,0,ネオネオン,アンデッドアリス,DECO*27,2020-12-16,185957,44,6,1,0.737,0.0886,0.704,0.000124,0.114,-5.16,0.0353,129.98,4,0.762,2
72,1,Reunion,アンドロイドガール,DECO*27,2019-05-22,37226,27,5,0,0.489,0.00255,0.955,0.166,0.531,-10.369,0.0995,96.029,4,0.212,2
73,2,1+1=1,ラブカレンダー,DECO*27,2018-08-23,70186,6,4,1,0.648,0.648,0.552,1.08e-06,0.363,-9.135,0.0275,119.968,4,0.728,2
74,3,1+1=1,LOVE CALENDER,DECO*27,2018-08-23,70186,12,4,1,0.648,0.648,0.552,1.08e-06,0.363,-9.135,0.0275,119.968,4,0.728,2
75,4,ゴーストルール,GHOST,DECO*27,2016-09-28,210000,47,2,1,0.564,0.0279,0.894,0.0,0.281,-4.596,0.0601,104.955,4,0.472,2
76,5,Ghost Rule,GHOST,DECO*27,2016-09-28,210000,60,2,1,0.564,0.0279,0.894,0.0,0.281,-4.596,0.0601,104.955,4,0.472,2
77,6,Streaming Heart,Conti New,DECO*27,2014-03-26,178941,34,1,1,0.601,0.0029,0.961,0.0138,0.306,-3.653,0.132,104.977,4,0.6,2
78,7,ストリーミングハート,Conti New,DECO*27,2014-03-26,178941,32,1,1,0.601,0.0029,0.961,0.0138,0.306,-3.653,0.132,104.977,4,0.6,2
79,8,愛言葉 Remastered Version,DECO*27 VOCALOID COLLECTION 2008~2012,DECO*27,2013-12-18,264933,20,4,1,0.5,0.00103,0.791,1.81e-05,0.47,-2.871,0.0332,137.035,4,0.65,2
80,9,Ai Kotoba Hatsune Remastered Version,DECO*27 VOCALOID COLLECTION 2008~2012,DECO*27,2013-12-18,264933,28,4,1,0.5,0.00103,0.791,1.81e-05,0.47,-2.871,0.0332,137.035,4,0.65,2
81,10,エゴママ,エゴママ / 恋距離遠愛,DECO*27,2011-12-07,267106,14,11,0,0.534,0.00104,0.875,0.00491,0.318,-2.807,0.0852,154.962,4,0.635,2
82,11,Egomama,Egomama / Love Distance Long Affair,DECO*27,2011-12-07,267106,20,11,0,0.534,0.00104,0.875,0.00491,0.318,-2.807,0.0852,154.962,4,0.635,2
83,12,entee,愛迷エレジー,DECO*27,2010-12-15,72786,5,9,0,0.595,0.922,0.626,0.998,0.388,-12.261,0.0563,180.061,4,0.0378,2
84,13,entee,Aimai Elegy,DECO*27,2010-12-15,72786,9,9,0,0.595,0.922,0.626,0.998,0.388,-12.261,0.0563,180.061,4,0.0378,2
85,14,相愛性理論,相愛性理論,DECO*27,2010-04-21,267853,8,7,1,0.567,0.000934,0.775,9.32e-05,0.137,-3.236,0.0413,132.009,4,0.406,2
86,15,Sou Ai Sei Ri Ron,Sou Ai Sei Ri Ron,DECO*27,2010-04-21,267853,10,7,1,0.567,0.000934,0.775,9.32e-05,0.137,-3.236,0.0413,132.009,4,0.406,2
87,16,シンデレラ,シンデレラ,DECO*27,2021-08-06,154261,19,3,1,0.539,0.00612,0.96,0.000324,0.372,-3.238,0.0636,158.02,4,0.876,2
88,17,Cinderella,Cinderella,DECO*27,2021-08-06,154261,10,3,1,0.539,0.00612,0.96,0.000324,0.372,-3.238,0.0636,158.02,4,0.876,2
89,18,おじゃま虫Ⅱ,おじゃま虫Ⅱ,DECO*27,2021-06-19,233847,37,4,1,0.673,0.0227,0.902,1.7e-05,0.152,-3.996,0.0293,142.99,4,0.973,2
90,19,StickybugⅡ,StickybugⅡ,DECO*27,2021-06-19,233847,37,4,1,0.673,0.0227,0.902,1.7e-05,0.152,-3.996,0.0293,142.99,4,0.973,2
91,20,アンダーカバー,アンダーカバー,DECO*27,2021-05-13,204380,34,2,1,0.542,0.00462,0.93,9.43e-06,0.308,-4.433,0.0668,92.54,4,0.697,2
92,21,UNDERCOVER,UNDERCOVER,DECO*27,2021-05-13,204380,38,2,1,0.542,0.00462,0.93,9.43e-06,0.308,-4.433,0.0668,92.54,4,0.697,2
93,22,needLe,needLe,DECO*27,2021-04-09,226408,30,1,0,0.524,0.00025,0.956,8.86e-06,0.168,-4.152,0.0579,95.063,4,0.848,2
94,23,needLe,needLe,DECO*27,2021-04-09,226408,32,1,0,0.524,0.00025,0.956,8.86e-06,0.168,-4.152,0.0579,95.063,4,0.848,2
95,24,セカイ,セカイ,DECO*27,2021-04-09,255686,37,8,1,0.571,0.0016,0.86,1.27e-05,0.174,-4.98,0.0403,132.991,4,0.817,2
96,25,SEKAI,SEKAI,DECO*27,2021-04-09,255686,29,8,1,0.571,0.0016,0.86,1.27e-05,0.174,-4.98,0.0403,132.991,4,0.817,2
97,26,ヴァンパイア - TeddyLoid Remix,ヴァンパイア (TeddyLoid Remix),TeddyLoid,2021-03-26,210731,36,6,0,0.651,0.0261,0.975,1.42e-06,0.06,0.456,0.07,163.982,4,0.688,2
98,27,The Vampire - TeddyLoid Remix,The Vampire,TeddyLoid,2021-03-26,210731,42,6,0,0.651,0.0261,0.975,1.42e-06,0.06,0.456,0.07,163.982,4,0.688,2
99,28,ヴァンパイア,ヴァンパイア,DECO*27,2021-03-09,178235,62,1,0,0.555,0.0096,0.955,0.0,0.329,-4.073,0.048,164.028,4,0.955,2
100,29,The Vampire,The Vampire,DECO*27,2021-03-09,178235,53,1,0,0.555,0.0096,0.955,0.0,0.329,-4.073,0.048,164.028,4,0.955,2
101,30,ハートインパルス,ハートインパルス,FUZI,2020-12-19,198677,22,9,1,0.395,0.00054,0.977,0.000439,0.339,-4.522,0.2,200.138,4,0.598,2
102,31,Heart Impulse,Heart Impulse,FUZI,2020-12-19,198677,25,9,1,0.395,0.00054,0.977,0.000439,0.339,-4.522,0.2,200.138,4,0.598,2
103,32,ネオネオン,ネオネオン,DECO*27,2020-11-27,185957,27,6,1,0.737,0.0886,0.704,0.000124,0.114,-5.16,0.0353,129.98,4,0.762,2
104,33,アンデッドアリス,アンデッドアリス,DECO*27,2020-10-30,209952,27,8,1,0.545,0.0111,0.948,0.0,0.135,-3.653,0.0694,175.965,4,0.855,2
105,34,ポジティブ・パレード,ポジティブ・パレード,DECO*27,2020-02-26,183373,38,5,1,0.507,0.0164,0.883,2.37e-05,0.116,-3.958,0.0871,155.111,4,0.85,2
106,35,ネガティブ進化論,ネガティブ進化論,DECO*27,2019,191357,30,3,0,0.65,0.0227,0.948,1.59e-06,0.334,-3.349,0.079,139.977,4,0.901,2
107,36,39,39,sasakure.UK,2018-08-23,219979,41,6,1,0.489,0.0144,0.818,0.0,0.044,-3.723,0.0354,175.069,4,0.856,2
108,37,39,39,sasakure.UK,2018-08-23,219979,32,6,1,0.489,0.0144,0.818,0.0,0.044,-3.723,0.0354,175.069,4,0.856,2
109,38,ちょべりGood Time,ちょべりGood Time,Shoko Nakagawa,2015-10-21,275693,4,6,1,0.585,0.0053,0.891,0.0,0.391,-3.595,0.0371,162.088,4,0.886,2
110,39,ゆめゆめ,ゆめゆめ,DECO*27,2012-04-18,220520,11,5,1,0.582,0.0321,0.889,0.0,0.39,-3.334,0.0318,160.025,4,0.698,2
111,40,Yumeyume,Yumeyume,DECO*27,2012-04-18,220520,21,5,1,0.582,0.0321,0.889,0.0,0.39,-3.334,0.0318,160.025,4,0.698,2
112,41,ライトラグ,ライトラグ,DECO*27,2011-07-27,209813,8,10,1,0.477,0.0518,0.934,0.00314,0.147,-3.477,0.0604,179.965,4,0.727,2
113,42,Light Lag,Light Lag,DECO*27,2011-07-27,209813,11,10,1,0.477,0.0518,0.934,0.00314,0.147,-3.477,0.0604,179.965,4,0.727,2
114,43,愛されなくても君がいる,PINOCCHIOP BEST ALBUM 2009-2020 寿,PinocchioP,2021-03-03,272000,14,1,0,0.574,0.0287,0.793,0.0,0.11,-5.311,0.0389,150.041,4,0.377,2
115,44,Because You're Here,PinocchioP Best Album 2009-2020 Kotobuki,PinocchioP,2021-03-03,272000,16,1,0,0.574,0.0287,0.793,0.0,0.11,-5.311,0.0389,150.041,4,0.377,2
116,45,Intro,Do you know kolme?,kolme,2019-11-20,72120,1,7,1,0.437,0.00537,0.82,0.000339,0.269,-6.506,0.119,128.085,4,0.823,2
117,46,モザイクロール,EXIT TUNES PRESENTS Gumissimo from Megpoid ―10th ANNIVERSARY BEST―,Various Artists,2019-06-19,186000,13,5,1,0.515,0.00104,0.919,0.926,0.326,-3.623,0.0534,145.039,4,0.595,2
118,47,Amekigoe Zankyou,Toukyou Plugless,Various Artists,2016-02-17,163586,28,0,1,0.358,0.733,0.41,0.0,0.111,-7.519,0.0292,82.019,1,0.445,2
119,48,雨き声残響(カバー),灯響プラグレス,Kain,2016-02-17,163586,22,0,1,0.358,0.733,0.41,0.0,0.111,-7.519,0.0292,82.019,1,0.445,2
120,49,Invitation,ウタカタリレイション,Various Artists,2015-12-29,143453,10,1,1,0.651,0.0405,0.968,0.00827,0.304,-3.475,0.0941,146.875,4,0.85,2
121,50,Invitation,Utakatarelation,Various Artists,2015-12-29,143453,3,1,1,0.651,0.0405,0.968,0.00827,0.304,-3.475,0.0941,146.875,4,0.85,2
122,51,無限∞ブランノワール,無限∞ブランノワール (Complete Edition),Shoko Nakagawa,2015-10-28,276386,0,8,1,0.44,0.0468,0.971,0.0,0.0486,-3.573,0.118,154.874,4,0.293,2
123,52,Streaming Heart,Exit Tunes Presents Numbers,Various Artists,2015-08-19,181117,34,1,1,0.612,0.00179,0.888,0.0272,0.339,-10.697,0.0752,105.016,4,0.729,2
124,53,Critical Line,Krad Matrix (Limited Edition),Various Artists,2015-03-18,214590,8,3,0,0.593,0.089,0.993,0.000165,0.169,-3.398,0.0658,127.984,4,0.557,2
125,54,Mosaic Roll,Exit Tunes Presents The Best Of Gumi From Megpoid,Various Artists,2015-03-11,183600,19,5,1,0.538,0.0018,0.933,0.807,0.333,-2.75,0.0581,145.023,4,0.62,2
126,55,CRITICAL LINE,KRAD MATRiX,Kradness,2015-03-04,214590,6,3,0,0.593,0.089,0.993,0.000165,0.169,-3.398,0.0658,127.984,4,0.557,2
127,56,カゲロウデイズ -初音ミク「マジカルミライ 2014」Live-,初音ミク「マジカルミライ 2014」 [Live],Various Artists,2015-02-25,235856,31,4,0,0.557,0.347,0.97,0.0,0.924,-2.205,0.0794,100.006,4,0.661,2
128,57,Waltz of Knives,MIKU-MIXTURE,Various Artists,2014-02-19,315626,8,0,1,0.385,0.386,0.8,0.00579,0.0856,-6.615,0.049,152.982,4,0.143,2
129,58,Waltz of Knives,MIKU-MIXTURE,Various Artists,2014-02-19,315626,1,0,1,0.385,0.386,0.8,0.00579,0.0856,-6.615,0.049,152.982,4,0.143,2
130,59,Project Diva desu. -MIKUNOPOLIS in LOS ANGELES Live-,MIKUNOPOLIS in LOS ANGELES “はじめまして、初音ミクです”,Various Artists,2011,181053,21,8,0,0.519,0.00787,0.987,0.00896,0.973,-4.804,0.144,132.037,4,0.232,2
132,0,おじゃま虫Ⅱ,おじゃま虫Ⅱ,DECO*27,2021-06-19,233847,37,4,1,0.673,0.0227,0.902,1.7e-05,0.152,-3.996,0.0293,142.99,4,0.973,2
133,1,アンダーカバー,アンダーカバー,DECO*27,2021-05-13,204380,34,2,1,0.542,0.00462,0.93,9.43e-06,0.308,-4.433,0.0668,92.54,4,0.697,2
134,2,セカイ,セカイ,DECO*27,2021-04-09,255686,37,8,1,0.571,0.0016,0.86,1.27e-05,0.174,-4.98,0.0403,132.991,4,0.817,2
135,3,needLe,needLe,DECO*27,2021-04-09,226408,32,1,0,0.524,0.00025,0.956,8.86e-06,0.168,-4.152,0.0579,95.063,4,0.848,2
